Data,doses_totais
2021-01-25T00:00:00Z,0
2021-01-26T00:00:00Z,1703
2021-01-27T00:00:00Z,908
2021-01-28T00:00:00Z,887
2021-01-29T00:00:00Z,2564
2021-01-30T00:00:00Z,0
2021-01-31T00:00:00Z,0
2021-02-01T00:00:00Z,4077
2021-02-02T00:00:00Z,1460
2021-02-03T00:00:00Z,0
2021-02-04T00:00:00Z,3160
2021-02-05T00:00:00Z,0
2021-02-06T00:00:00Z,0
2021-02-07T00:00:00Z,0
2021-02-08T00:00:00Z,0
2021-02-09T00:00:00Z,630
2021-02-10T00:00:00Z,0
2021-02-11T00:00:00Z,0
2021-02-12T00:00:00Z,4578
2021-02-15T00:00:00Z,805
2021-02-16T00:00:00Z,27
2021-02-17T00:00:00Z,0
2021-02-18T00:00:00Z,2197
2021-02-19T00:00:00Z,1912
2021-02-22T00:00:00Z,0
2021-02-23T00:00:00Z,6105
2021-02-24T00:00:00Z,543
2021-02-25T00:00:00Z,439
2021-02-26T00:00:00Z,1347
2021-03-01T00:00:00Z,0
2021-03-02T00:00:00Z,2243
2021-03-03T00:00:00Z,-946
2021-03-04T00:00:00Z,0
2021-03-05T00:00:00Z,0
2021-03-08T00:00:00Z,0
2021-03-09T00:00:00Z,0
2021-03-10T00:00:00Z,0
2021-03-11T00:00:00Z,0
2021-03-12T00:00:00Z,0
2021-03-15T00:00:00Z,0
2021-03-16T00:00:00Z,3723
2021-03-17T00:00:00Z,254
